id,name,chembl_id,mechanism
DB01016,Glyburide,CHEMBL472,"Sulfonylureas such as glyburide bind to ATP-sensitive potassium channels on the pancreatic cell surface, reducing potassium conductance and causing depolarization of the membrane. Depolarization stimulates calcium ion influx through voltage-sensitive calcium channels, raising intracellular concentrations of calcium ions, which induces the secretion, or exocytosis, of insulin."
DB01017,Minocycline,CHEMBL1434,"Minocycline passes directly through the lipid bilayer or passively diffuses through porin channels in the bacterial membrane. Tetracyclines like minocycline bind to the 30S ribosomal subunit, preventing the binding of tRNA to the mRNA-ribosome complex and interfering with protein synthesis."
DB01018,Guanfacine,CHEMBL862,"Guanfacine selectively stimulates central alpha(2)-adrenergic receptors, resulting in inhibition of sympathetic vasomotor centers, which contributes predominantly to the hypotensive effects of the drug. Central effects of guanfacine lead to reduced peripheral sympathetic nerve impulses from the vasomotor center to the heart and blood vessels. This results in a decrease in peripheral vascular resistance and a reduction in heart rate. The stimulation of peripheral alpha(2)-adrenergic receptors may also contribute to hypotensive effects. "
DB01019,Bethanechol,CHEMBL1482,"Bethanechol directly stimulates cholinergic receptors in the parasympathetic nervous system while stimulating the ganglia to a lesser extent. Its effects are predominantly muscarinic, inducing little effect on nicotinic receptors and negligible effects on the cardiovascular system."
DB01020,Isosorbide Mononitrate,CHEMBL1311,"Similar to other nitrites and organic nitrates, Isosorbide Mononitrate is converted to nitric oxide (NO), an active intermediate compound which activates the enzyme guanylate cyclase (Atrial natriuretic peptide receptor A). This stimulates the synthesis of cyclic guanosine 3',5'-monophosphate (cGMP) which then activates a series of protein kinase-dependent phosphorylations in the smooth muscle cells, eventually resulting in the dephosphorylation of the myosin light chain of the smooth muscle fiber. The subsequent release of calcium ions results in the relaxation of the smooth muscle cells and vasodilation."
DB01021,Trichlormethiazide,CHEMBL1054,"Trichlormethiazide appears to block the active reabsorption of chloride and possibly sodium in the ascending loop of Henle, altering electrolyte transfer in the proximal tubule. This results in excretion of sodium, chloride, and water and, hence, diuresis. As a diuretic, Trichloromethiazide inhibits active chloride reabsorption at the early distal tubule via the Na-Cl cotransporter, resulting in an increase in the excretion of sodium, chloride, and water. Thiazides like Trichloromethiazide also inhibit sodium ion transport across the renal tubular epithelium through binding to the thiazide sensitive sodium-chloride transporter. This results in an increase in potassium excretion via the sodium-potassium exchange mechanism. The antihypertensive mechanism of Trichloromethiazide is less well understood although it may be mediated through its action on carbonic anhydrases in the smooth muscle or through its action on the large-conductance calcium-activated potassium (KCa) channel, also found in the smooth muscle."
DB01022,Phylloquinone,CHEMBL1550,"Vitamin K is an essential cofactor for the gamma-carboxylase enzymes which catalyze the posttranslational gamma-carboxylation of glutamic acid residues in inactive hepatic precursors of coagulation factors II (prothrombin), VII, IX and X. Gamma-carboxylation converts these inactive precursors into active coagulation factors which are secreted by hepatocytes into the blood. Supplementing with Phylloquinone results in a relief of vitamin K deficiency symptoms which include easy bruisability, epistaxis, gastrointestinal bleeding, menorrhagia and hematuria."
DB01023,Felodipine,CHEMBL1480,"Felodipine decreases arterial smooth muscle contractility and subsequent vasoconstriction by inhibiting the influx of calcium ions through voltage-gated L-type calcium channels. It reversibly competes against nitrendipine and other DHP CCBs for DHP binding sites in vascular smooth muscle and cultured rabbit atrial cells. Calcium ions entering the cell through these channels bind to calmodulin. Calcium-bound calmodulin then binds to and activates myosin light chain kinase (MLCK). Activated MLCK catalyzes the phosphorylation of the regulatory light chain subunit of myosin, a key step in muscle contraction. Signal amplification is achieved by calcium-induced calcium release from the sarcoplasmic reticulum through ryanodine receptors. Inhibition of the initial influx of calcium decreases the contractile activity of arterial smooth muscle cells and results in vasodilation. The vasodilatory effects of felodipine result in an overall decrease in blood pressure. Felodipine may be used to treat mild to moderate essential hypertension."
DB01024,Mycophenolic acid,CHEMBL866,"Mycophenolic acid is a potent, selective, uncompetitive, and reversible inhibitor of inosine monophosphate dehydrogenase (IMPDH), and therefore inhibits the de novo pathway of guanosine nucleotide synthesis without incorporation into DNA. Because T- and B-lymphocytes are critically dependent for their proliferation on de novo synthesis of purines, whereas other cell types can utilize salvage pathways, mycophenolic acid has potent cytostatic effects on lymphocytes. Mycophenolic acid inhibits proliferative responses of T- and B-lymphocytes to both mitogenic and allospecific stimulation. Addition of guanosine or deoxyguanosine reverses the cytostatic effects of mycophenolic acid on lymphocytes. Mycophenolic acid also suppresses antibody formation by B-lymphocytes. Mycophenolic acid prevents the glycosylation of lymphocyte and monocyte glycoproteins that are involved in intercellular adhesion to endothelial cells and may inhibit recruitment of leukocytes into sites of inflammation and graft rejection."
DB01025,Amlexanox,CHEMBL1096,"As a benzopyrano-bipyridine carboxylic acid derivative, amlexanox has anti-inflammatory and antiallergic properties. It inhibits chemical mediatory release of the slow-reacting substance of anaphylaxis (SRS-A) and may have antagonistic effects on interleukin-3. When cells are under stress, they release an inactive form of human fibroblast growth factor 1 (FGF-1), a potent mitogen (entity that causes mitosis). Amlexanox binds to FGF1, increasing its conformational stability, sterically blocking Cu(2+) induced oxidation which normally leads to activation of FGF-1.  "
DB01026,Ketoconazole,CHEMBL157101,"Ketoconazole interacts with 14-&alpha; demethylase, a cytochrome P-450 enzyme necessary for the conversion of lanosterol to ergosterol. This results in inhibition of ergosterol synthesis and increased fungal cellular permeability. Other mechanisms may involve the inhibition of endogenous respiration, interaction with membrane phospholipids, inhibition of yeast transformation to mycelial forms, inhibition of purine uptake, and impairment of triglyceride and/or phospholipid biosynthesis. Ketoconazole can also inhibit the synthesis of thromboxane and sterols such as aldosterone, cortisol, and testosterone."
DB01028,Methoxyflurane,CHEMBL1341,"Methoxyflurane induces a reduction in junctional conductance by decreasing gap junction channel opening times and increasing gap junction channel closing times. Methoxyflurane also activates calcium dependent ATPase in the sarcoplasmic reticulum by increasing the fluidity of the lipid membrane. It also appears to bind the D subunit of ATP synthase and NADH dehydogenase. Methoxyflurane also binds to the GABA receptor, the large conductance Ca<sup>2+</sup> activated potassium channel, the glutamate receptor and the glycine receptor."
DB01029,Irbesartan,CHEMBL1513,"Irbesartan is a nonpeptide tetrazole derivative and an angiotensin II antagonist that selectively blocks the binding of angiotensin II to the AT<sub>1</sub> receptor. In the renin-angiotensin system, angiotensin I is converted by angiotensin-converting enzyme (ACE) to form angiotensin II. Angiotensin II stimulates the adrenal cortex to synthesize and secrete aldosterone, which decreases the excretion of sodium and increases the excretion of potassium. Angiotensin II also acts as a vasoconstrictor in vascular smooth muscle. Irbesartan, by blocking the binding of angiotensin II to the AT<sub>1</sub> receptor, promotes vasodilation and decreases the effects of aldosterone. The negative feedback regulation of angiotensin II on renin secretion is also inhibited, but the resulting rise in plasma renin concentrations and consequent rise in angiotensin II plasma concentrations do not counteract the blood pressure&ndash;lowering effect that occurs. The action of ARBs is different from ACE inhibitors, which block the conversion of angiotensin I to angiotensin II, meaning that the production of angiotensin II is not completely inhibited, as the hormone can be formed via other enzymes. Also, unlike ACE inhibitors, irbesartan and other ARBs do not interfere with response to bradykinins and substance P, which allows for the absence of adverse effects that are present in ACE inhibitors (eg. dry cough)."
DB01030,Topotecan,CHEMBL84,"Topotecan has the same mechanism of action as irinotecan and is believed to exert its cytotoxic effects during the S-phase of DNA synthesis. Topoisomerase I relieves torsional strain in DNA by inducing reversible single strand breaks. Topotecan binds to the topoisomerase I-DNA complex and prevents religation of these single strand breaks. This ternary complex interferes with the moving replication fork, which leads to the induction of replication arrest and lethal double-stranded breaks in DNA. As mammalian cells cannot efficiently repair these double strand breaks, the formation of this ternary complex eventually leads to apoptosis (programmed cell death).

Topotecan mimics a DNA base pair and binds at the site of DNA cleavage by intercalating between the upstream (−1) and downstream (+1) base pairs. Intercalation displaces the downstream DNA, thus preventing religation of the cleaved strand. By specifically binding to the enzyme–substrate complex, Topotecan acts as an uncompetitive inhibitor."
DB01031,Ethinamate,CHEMBL1576,"The mechanism of action is not known. However, studies have shown that ethinamate inhibits carbonic anhydrases I and II (J Biol Chem. 1992 Dec 15;267(35):25044-50). This inhibition by ethinamate is not sufficiently strong, however, to implicate carbonic anhydrases I and II in the mechanism of action."
DB01032,Probenecid,CHEMBL897,"Probenecid inhibits the tubular reabsorption of urate, thus increasing the urinary excretion of uric acid and decreasing serum urate levels. Probenecid may also reduce plasma binding of urate and inhibit renal secretion of uric acid at subtherapeutic concentrations. The mechanism by which probenecid inhibits renal tubular transport is not known, but the drug may inhibit transport enzymes that require a source of high energy phosphate bonds and/or nonspecifically interfere with substrate access to protein receptor sites on the kidney tubules."
DB01033,Mercaptopurine,CHEMBL1425,"Mercaptopurine competes with hypoxanthine and guanine for the enzyme hypoxanthine-guanine phosphoribosyltransferase (HGPRTase) and is itself converted to thioinosinic acid (TIMP). This intracellular nucleotide inhibits several reactions involving inosinic acid (IMP), including the conversion of IMP to xanthylic acid (XMP) and the conversion of IMP to adenylic acid (AMP) via adenylosuccinate (SAMP). In addition, 6-methylthioinosinate (MTIMP) is formed by the methylation of TIMP. Both TIMP and MTIMP have been reported to inhibit glutamine-5-phosphoribosylpyrophosphate amidotransferase, the first enzyme unique to the de novo pathway for purine ribonucleotide synthesis. Experiments indicate that radiolabeled mercaptopurine may be recovered from the DNA in the form of deoxythioguanosine. Some mercaptopurine is converted to nucleotide derivatives of 6-thioguanine (6-TG) by the sequential actions of inosinate (IMP) dehydrogenase and xanthylate (XMP) aminase, converting TIMP to thioguanylic acid (TGMP)."
DB01034,Cerulenin,CHEMBL45627,"Irreversibly binds to fatty acid synthase, specifically b-ketoacyl-acyl carrier protein synthase (FabH, FabB and FabF condensation enzymes). A number of tumor cells and cell lines have been observed to have highly upregulated expression and activity of fatty acid synthase (FAS). Inhibition of FAS by cerulenin leads to cytotoxicity and apoptosis in human cancer cell lines, an effect believed to be mediated by the accumulation of malonyl-coenzyme A in cells with an upregulated FAS pathway."
DB01035,Procainamide,CHEMBL640,Procainamide is sodium channel blocker. It stabilizes the neuronal membrane by inhibiting the ionic fluxes required for the initiation and conduction of impulses thereby effecting local anesthetic action.
DB01036,Tolterodine,CHEMBL1382,"Both tolterodine and its active metabolite, 5-hydroxymethyltolterodine, act as competitive antagonists at muscarinic receptors. This antagonism results in inhibition of bladder contraction, decrease in detrusor pressure, and an incomplete emptying of the bladder."
DB01037,Selegiline,CHEMBL972,"Although the mechanisms for selegiline's beneficial action in the treatment of Parkinson's disease are not fully understood, the selective, irreversible inhibition of monoamine oxidase type B (MAO-B) is thought to be of primary importance. MAO-B is involved in the oxidative deamination of dopamine in the brain. Selegiline binds to MAO-B within the nigrostriatal pathways in the central nervous system, thus blocking microsomal metabolism of dopamine and enhancing the dopaminergic activity in the substantial nigra. Selegiline may also increase dopaminergic activity through mechanisms other than inhibition of MAO-B. At higher doses, selegiline can also inhibit monozmine oxidase type A (MAO-A), allowing it to be used for the treatment of depression."
DB01038,Carphenazine,CHEMBL1201328,"A yellow, powdered, phenothiazine antipsychotic agent used in the treatment of acute or chronic schizophrenia. The term ""phenothiazines"" is used to describe the largest of the five main classes of neuroleptic antipsychotic drugs. These drugs have antipsychotic and, often, antiemetic properties, although they may also cause severe side effects such as akathisia, tardive dyskinesia and extrapyramidal symptoms. Carphenazine blocks postsynaptic mesolimbic dopaminergic D1 and D2 receptors in the brain; depresses the release of hypothalamic and hypophyseal hormones and is believed to depress the reticular activating system thus affecting basal metabolism, body temperature, wakefulness, vasomotor tone, and emesis."
DB01039,Fenofibrate,CHEMBL672,"Fenofibrate exerts its therapeutic effects through activation of peroxisome proliferator activated receptor a (PPARa). This increases lipolysis and elimination of triglyceride-rich particles from plasma by activating lipoprotein lipase and reducing production of apoprotein C-III. The resulting fall in triglycerides produces an alteration in the size and composition of LDL from small, dense particles, to large buoyant particles. These larger particles have a greater affinity for cholesterol receptors and are catabolized rapidly."
DB01040,Hydroxystilbamidine Isethionate,CHEMBL1200847,Hydroxystilbamidine isethionate (HSB) acts on extracellular DNA and lysosomes. In Trypanosomes there is extensive and selective binding of HSB to the kinetoplastic DNA. This inhibits cell division and reproduction. In yeast there is evidence of binding to extranuclear DNA causing numerous mutations. HSB is also taken up in the lysosomes and leads to a significant increase in the number of lysosome-like bodies and secretion granules in trypanosomal organisms. HSB may also stabilize lysosomal membranes. HSB has also been found to bind RNA and is a powerful inhibitor of cellular ribonucleases.
DB01041,Thalidomide,CHEMBL468,"In patients with erythema nodosum leprosum (ENL) the mechanism of action is not fully understood. Available data from in vitro studies and preliminary clinical trials suggest that the immunologic effects of this compound can vary substantially under different conditions, but may be related to suppression of excessive tumor necrosis factor-alpha (TNF-a) production and down-modulation of selected cell surface adhesion molecules involved in leukocyte migration. For example, administration of thalidomide has been reported to decrease circulating levels of TNF-a in patients with ENL, however, it has also been shown to increase plasma TNF-a levels in HIV-seropositive patients. As a cancer treatment, the drug may act as a VEGF inhibitor."
DB01042,Melphalan,CHEMBL852,"Alkylating agents work by three different mechanisms: 1) attachment of alkyl groups to DNA bases (primarily at the N-7 position of guanine and to a lesser extent, at the N-3 position of adenine), forming monoadducts and resulting in the DNA being fragmented by repair enzymes in their attempts to replace the alkylated bases, preventing DNA synthesis and RNA transcription from the affected DNA, 2) DNA damage via the formation of cross-links (bonds between atoms in the DNA) which prevents DNA from being separated for synthesis or transcription, and 3) the induction of mispairing of the nucleotides leading to mutations."
DB01043,Memantine,CHEMBL807,"Memantine exerts its action through uncompetitive NMDA receptor antagonism, binding preferentially to the NMDA receptor-operated cation channels. Prolonged increased levels of glutamate in the brain of demented patients are sufficient to counter the voltage-dependent block of NMDA receptors by Mg<sup>2+</sup> ions and allow continuous influx of Ca<sup>2+</sup> ions into cells, ultimately resulting in neuronal degeneration. Studies suggest that memantine binds more effectively than Mg<sup>2+</sup> ions at the NMDA receptor, and thereby effectively blocks this prolonged influx of Ca<sup>2+</sup> ions through the NMDA channel whilst preserving the transient physiological activation of the channels by higher concentrations of synaptically released glutamate. Thus memantine protects against chronically elevated concentrations of glutamate. Memantine also has antagonistic activity at the type 3 serotonergic (5-HT<sub>3</sub>) receptor with a potency that is similar to that at the NMDA receptor, and lower antagonistic activity at the nicotinic acetylcholine receptor. This drug has no affinity for γ-aminobutyric acid (GABA), benzodiazepine, dopamine, adrenergic, histamine, or glycine receptors or for voltage-dependent calcium, sodium, or potassium channels."
DB01044,Gatifloxacin,CHEMBL31,"The bactericidal action of Gatifloxacin results from inhibition of the enzymes topoisomerase II (DNA gyrase) and topoisomerase IV, which are required for bacterial DNA replication, transcription, repair, and recombination."
DB01045,Rifampicin,CHEMBL374478,"Rifampin acts via the inhibition of DNA-dependent RNA polymerase, leading to a suppression of RNA synthesis and cell death."
DB01046,Lubiprostone,CHEMBL1201134,"Lubiprostone acts by specifically activating ClC-2 chloride channels, which is a normal constituent of the apical membrane of the human intestine, in a protein kinase A action independent fashion. Activation of ClC-2 chloride channels causes an efflux of chloride ions into the lumen, which in turn leads to an efflux of sodium ions through a paracellular pathway to maintain isoelectric neutrality. As a result, water follows sodium into the lumen in order to maintain isotonic equilibrium, thereby increasing intestinal fluid secretion. By increasing intestinal fluid secretion, lubiprostone increases motility in the intestine, thereby increasing the passage of stool and alleviating symptoms associated with chronic idiopathic constipation. Activation of ClC-2 chloride channels may also stimulate the recovery of muscosal barrier function by restoring tight junction protein complexes in the intestine. Patch clamp cell studies in human cell lines have indicated that the majority of the beneficial biological activity of lubiprostone and its metabolites is observed only on the apical (luminal) portion of the gastrointestinal epithelium."
DB01047,Fluocinonide,CHEMBL1501,"Fluocinonide is a potent glucocorticoid steroid used topically as anti-inflammatory agent for the treatment of skin disorders such as eczema. It relieves itching, redness, dryness, crusting, scaling, inflammation, and discomfort. Fluocinonide binds to the cytosolic glucocorticoid receptor. After binding the receptor the newly formed receptor-ligand complex translocates itself into the cell nucleus, where it binds to many glucocorticoid response elements (GRE) in the promoter region of the target genes. The DNA bound receptor then interacts with basic transcription factors, causing the increase in expression of specific target genes. The anti-inflammatory actions of corticosteroids are thought to involve lipocortins, phospholipase A2 inhibitory proteins which, through inhibition arachidonic acid, control the biosynthesis of prostaglandins and leukotrienes. Specifically glucocorticoids induce lipocortin-1 (annexin-1) synthesis, which then binds to cell membranes preventing the phospholipase A2 from coming into contact with its substrate arachidonic acid. This leads to diminished eicosanoid production. Cyclooxygenase (both COX-1 and COX-2) expression is also suppressed, potentiating the effect. In another words, the two main products in inflammation Prostaglandins and Leukotrienes are inhibited by the action of Glucocorticoids. Glucocorticoids also stimulate the lipocortin-1 escaping to the extracellular space, where it binds to the leukocyte membrane receptors and inhibits various inflammatory events: epithelial adhesion, emigration, chemotaxis, phagocytosis, respiratory burst and the release of various inflammatory mediators (lysosomal enzymes, cytokines, tissue plasminogen activator, chemokines etc.) from neutrophils, macrophages and mastocytes. Additionally the immune system is suppressed by corticosteroids due to a decrease in the function of the lymphatic system, a reduction in immunoglobulin and complement concentrations, the precipitation of lymphocytopenia, and interference with antigen-antibody binding.  Like other glucocorticoid agents Fluocinolone acetonide acts as a physiological antagonist to insulin by decreasing glycogenesis (formation of glycogen).  It also promotes the breakdown of lipids (lipolysis), and proteins, leading to the mobilization of extrahepatic amino acids and ketone bodies. This leads to increased circulating glucose concentrations (in the blood). There is also decreased glycogen formation in the liver."
DB01048,Abacavir,CHEMBL1380,"Abacavir is a carbocyclic synthetic nucleoside analogue and an antiviral agent. Intracellularly, abacavir is converted by cellular enzymes to the active metabolite carbovir triphosphate, an analogue of deoxyguanosine-5'-triphosphate (dGTP). Carbovir triphosphate inhibits the activity of HIV-1 reverse transcriptase (RT) both by competing with the natural substrate dGTP and by its incorporation into viral DNA. Viral DNA growth is terminated because the incorporated nucleotide lacks a 3'-OH group, which is needed to form the 5′ to 3′ phosphodiester linkage essential for DNA chain elongation. "
DB01049,Ergoloid mesylate,,"Ergoloid mesylates act centrally, decreasing vascular tone and slowing the heart rate, and acts peripherally to block alpha-receptors. One other possible mechanism is the effect of ergoloid mesylates on neuronal cell metabolism, resulting in improved oxygen uptake and cerebral metabolism, thereby normalizing depressed neurotransmitter levels."
DB01050,Ibuprofen,CHEMBL521,"The exact mechanism of action of ibuprofen is unknown. Ibuprofen is a non-selective inhibitor of cyclooxygenase, an enzyme invovled in prostaglandin synthesis via the arachidonic acid pathway. Its pharmacological effects are believed to be due to inhibition cylooxygenase-2 (COX-2) which decreases the synthesis of  prostaglandins involved in mediating inflammation, pain, fever and swelling. Antipyretic effects may be due to action on the hypothalamus, resulting in an increased peripheral blood flow, vasodilation, and subsequent heat dissipation. Inhibition of COX-1 is thought to cause some of the side effects of ibuprofen including GI ulceration. Ibuprofen is administered as a racemic mixture. The R-enantiomer undergoes extensive interconversion to the S-enantiomer  <i>in vivo</i>. The S-enantiomer is believed to be the more pharmacologically active enantiomer."
DB01051,Novobiocin,CHEMBL36506,Novobiocin is an aminocoumarin. Aminocoumarins are very potent inhibitors of bacterial DNA gyrase and work by inhibiting the GyrB subunit of the enzyme involved in energy tranduction. Novobiocin as well as the other aminocoumarin antibiotics act as competitive inhibitors of the ATPase reaction catalysed by GyrB.
DB01053,Benzylpenicillin,CHEMBL29,"By binding to specific penicillin-binding proteins (PBPs) located inside the bacterial cell wall, penicillin G inhibits the third and last stage of bacterial cell wall synthesis. Cell lysis is then mediated by bacterial cell wall autolytic enzymes such as autolysins; it is possible that penicillin G interferes with an autolysin inhibitor."
DB01054,Nitrendipine,CHEMBL475534,"By deforming the channel, inhibiting ion-control gating mechanisms, and/or interfering with the release of calcium from the sarcoplasmic reticulum, Nitrendipine inhibits the influx of extracellular calcium across the myocardial and vascular smooth muscle cell membranes The decrease in intracellular calcium inhibits the contractile processes of the myocardial smooth muscle cells, causing dilation of the coronary and systemic arteries, increased oxygen delivery to the myocardial tissue, decreased total peripheral resistance, decreased systemic blood pressure, and decreased afterload."
DB01055,Mimosine,CHEMBL245416,"Mimosine causes inhibition of DNA replication, changes in the progression of the cells in the cell cycle, and apoptosis. Mimosine appears to introduce breaks into DNA. Mimosine is an iron/zinc chelator. Iron depletion induces DNA double-strand breaks in treated cells, and activates a DNA damage response that results in focal phosphorylation of histones. This leads to inhibition of DNA replication and/or DNA elongation. Some studies indicate that mimosine prevents the initiation of DNA replication, whereas other studies indicate that mimosine disrupts elongation of the replication fork by impairing deoxyribonucleotide synthesis by inhibiting the activity of the iron-dependent enzyme ribonucleotide reductase and the transcription of the cytoplasmic serine hydroxymethyltransferase gene (SHMT). Inhibition of serine hydroxymethyltransferase is moderated by a zinc responsive unit located in front of the SHMT gene."
DB01056,Tocainide,CHEMBL1762,"Tocainide acts on sodium channels on the neuronal cell membrane, limiting the spread of seizure activity and reducing seizure propagation. Tocainide binds preferentially to the inactive state of the sodium channels.The antiarrhythmic actions are mediated through effects on sodium channels in Purkinje fibers."
DB01057,Echothiophate,CHEMBL1201341,"Echothiophate Iodide is a long-acting cholinesterase inhibitor for topical use which enhances the effect of endogenously liberated acetylcholine in iris, ciliary muscle, and other parasympathetically innervated structures of the eye. Echothiophate iodide binds irreversibly to cholinesterase, and is long acting due to the slow rate of hydrolysis by cholinesterase. It causes miosis, increase in facility of outflow of aqueous humor, fall in intraocular pressure, and potentiation of accommodation. "
DB01058,Praziquantel,CHEMBL976,"Praziquantel works by causing severe spasms and paralysis of the worms' muscles. This paralysis is accompanied - and probably caused - by a rapid Ca 2+ influx inside the schistosome. Morphological alterations are another early effect of praziquantel. These morphological alterations are accompanied by an increased exposure of schistosome antigens at the parasite surface. The worms are then either completely destroyed in the intestine or passed in the stool. An interesting quirk of praziquantel is that it is relatively ineffective against juvenile schistosomes. While initially effective, effectiveness against schistosomes decreases until it reaches a minimum at 3-4 weeks. Effectiveness then increases again until it is once again fully effective at 6-7 weeks. Glutathione S-transferase (GST), an essential detoxification enzyme in parasitic helminths, is a major vaccine target and a drug target against schistosomiasis. Schistosome calcium ion channels are currently the only known target of praziquantel. "
DB01059,Norfloxacin,CHEMBL9,"The bactericidal action of Norfloxacin results from inhibition of the enzymes topoisomerase II (DNA gyrase) and topoisomerase IV, which are required for bacterial DNA replication, transcription, repair, and recombination. Norfloxacin is a broad-spectrum antibiotic that is active against both gram-positive and gram-negative bacterias. The fluorine atom at the 6 position increases potency against gram-negative organisms, and the piperazine moiety at the 7 position is responsible for anti-pseudomonal activity"
DB01060,Amoxicillin,CHEMBL1082,"Amoxicillin binds to penicillin-binding protein 1A (PBP-1A) located inside the bacterial cell well. Penicillins acylate the penicillin-sensitive transpeptidase C-terminal domain by opening the lactam ring. This inactivation of the enzyme prevents the formation of a cross-link of two linear peptidoglycan strands, inhibiting the third and last stage of bacterial cell wall synthesis. Cell lysis is then mediated by bacterial cell wall autolytic enzymes such as autolysins; it is possible that amoxicllin interferes with an autolysin inhibitor."
DB01061,Azlocillin,CHEMBL1537,"By binding to specific penicillin-binding proteins (PBPs) located inside the bacterial cell wall, azlocillin inhibits the third and last stage of bacterial cell wall synthesis. Cell lysis is then mediated by bacterial cell wall autolytic enzymes such as autolysins; it is possible that azlocillin interferes with an autolysin inhibitor."
DB01062,Oxybutynin,CHEMBL1231,"Oxybutynin exerts a direct antispasmodic effect on smooth muscle and inhibits the muscarinic action of acetylcholine on smooth muscle. No blocking effects occur at skeletal neuromuscular junctions or autonomic ganglia (antinicotinic effects). By inhibiting particularily the M1 and M2 receptors of the bladder, detrusor activity is markedly decreased."
DB01063,Acetophenazine,CHEMBL1085,"Acetophenazine blocks postsynaptic mesolimbic dopaminergic D1 and D2 receptors in the brain; depresses the release of hypothalamic and hypophyseal hormones and is believed to depress the reticular activating system thus affecting basal metabolism, body temperature, wakefulness, vasomotor tone, and emesis."
DB01064,Isoprenaline,CHEMBL434,"The pharmacologic effects of isoproterenol are at least in part attributable to stimulation through beta-adrenergic receptors of intracellular adenyl cyclase, the enzyme that catalyzes the conversion of adenosine triphosphate (ATP) to cyclic AMP. Increased cyclic AMP levels are associated with relaxation of bronchial smooth muscle and inhibition of release of mediators of immediate hypersensitivity from cells, especially from mast cells."
DB01065,Melatonin,CHEMBL45,"Melatonin is a derivative of tryptophan. It binds to melatonin receptor type 1A, which then acts on adenylate cylcase and the inhibition of a cAMP signal transduction pathway. Melatonin not only inhibits adenylate cyclase, but it also activates phosphilpase C. This potentiates the release of arachidonate. By binding to melatonin receptors 1 and 2, the downstream signallling cascades have various effects in the body. The melatonin receptors are G protein-coupled receptors and are expressed in various tissues of the body. There are two subtypes of the receptor in humans, melatonin receptor 1 (MT1) and melatonin receptor 2 (MT2). Melatonin and melatonin receptor agonists, on market or in clinical trials, all bind to and activate both receptor types.The binding of the agonists to the receptors has been investigated for over two decades or since 1986. It is somewhat known, but still not fully understood. When melatonin receptor agonists bind to and activate their receptors it causes numerous physiological processes.
MT1 receptors are expressed in many regions of the central nervous system (CNS): suprachiasmatic nucleus of the hypothalamus (SNC), hippocampus, substantia nigra, cerebellum, central dopaminergic pathways, ventral tegmental area and nucleus accumbens. MT1 is also expressed in the retina, ovary, testis, mammary gland, coronary circulation and aorta, gallbladder, liver, kidney, skin and the immune system. MT2 receptors are expressed mainly in the CNS, also in the lung, cardiac, coronary and aortic tissue, myometrium and granulosa cells, immune cells, duodenum and adipocytes.
The binding of melatonin to melatonin receptors activates a few signaling pathways. MT1 receptor activation inhibits the adenylyl cyclase and its inhibition causes a rippling effect of non activation; starting with decreasing formation of cyclic adenosine monophosphate (cAMP), and then progressing to less protein kinase A (PKA) activity, which in turn hinders the phosphorilation of cAMP responsive element-binding protein (CREB binding protein) into P-CREB. MT1 receptors also activate phospholipase C (PLC), affect ion channels and regulate ion flux inside the cell. The binding of melatonin to MT2 receptors inhibits adenylyl cyclase which decreases the formation of cAMP.[4] As well it hinders guanylyl cyclase and therefore the forming of cyclic guanosine monophosphate (cGMP). Binding to MT2 receptors probably affects PLC which increases protein kinase C (PKC) activity. Activation of the receptor can lead to ion flux inside the cell."
DB01066,Cefditoren,CHEMBL454446,"The bactericidal activity of cefditoren results from the inhibition of cell wall synthesis via affinity for penicillin-binding proteins (PBPs). Cefditoren is stable in the presence of a variety of b-lactamases, including penicillinases and some cephalosporinases."
DB01067,Glipizide,CHEMBL1073,"Sulfonylureas likely bind to ATP-sensitive potassium-channel receptors on the pancreatic cell surface, reducing potassium conductance and causing depolarization of the membrane. Depolarization stimulates calcium ion influx through voltage-sensitive calcium channels, raising intracellular concentrations of calcium ions, which induces the secretion, or exocytosis, of insulin."
DB01068,Clonazepam,CHEMBL452,"Allosteric interactions between central benzodiazepine receptors and gamma-aminobutyric acid (GABA) receptors potentiate the effects of GABA. As GABA is an inhibitory neurotransmitter, this results in increased inhibition of the ascending reticular activating system. Benzodiazepines, in this way, block the cortical and limbic arousal that occurs following stimulation of the reticular pathways."
DB01069,Promethazine,CHEMBL643,"Like other H1-antagonists, promethazine competes with free histamine for binding at H1-receptor sites in the GI tract, uterus, large blood vessels, and bronchial muscle. The relief of nausea appears to be related to central anticholinergic actions and may implicate activity on the medullary chemoreceptor trigger zone."
DB01070,Dihydrotachysterol,CHEMBL2356023,"Once hydroxylated to 25-hydroxydihydrotachysterol, the modified drug binds to the vitamin D receptor. The bound form of the vitamin D receptor serves as a transcriptional regulator of bone matrix proteins, inducing the expression of osteocalcin and suppressing synthesis of type I collagen. Vitamin D (when bound to the vitamin D receptor)stimulates the expression of a number of proteins involved in transporting calcium from the lumen of the intestine, across the epithelial cells and into blood. This stimulates intestinal calcium absorption and increases renal phosphate excretion. These are functions that are normally carried out by the parathyroid hormone. "
DB01071,Mequitazine,CHEMBL73451,"Mequitazine binds to the histamine H1 receptor sites on effector cells in the gastrointestinal tract, blood vessels, and respiratory tract. This blocks the action of endogenous histamine, which subsequently leads to temporary relief of the negative symptoms brought on by histamine."
