hgnc_id	approved_symbol	approved_name	synonyms	accession_numbers	entrez_gene_id	ensembl_gene_id	refseq_ids
HGNC:16705	PAPD7	poly(A) RNA polymerase D7, non-canonical	POLK, TRF4, LAK-1, TRF4-1	AF089896	11044	ENSG00000112941	NM_006999
HGNC:16706	SPG19	spastic paraplegia 19 (autosomal dominant)			140907		
HGNC:16707	DSCR8	Down syndrome critical region 8 (non-protein coding)	MTAG2, CT25.1a, CT25.1b, MMA-1a, MMA-1b	AF321193	84677	ENSG00000198054	NR_026838
HGNC:16708	FAM89B	family with sequence similarity 89 member B	MTVR1, LRAP25	AF052151	23625	ENSG00000176973	NM_152832
HGNC:16709	CALCRL	calcitonin receptor like receptor	CGRPR, CRLR	U17473	10203	ENSG00000064989	NM_005795
HGNC:1671	CD39L3~withdrawn	symbol withdrawn, see ENTPD3					
HGNC:16710	AKTIP	AKT interacting protein	FLJ13258	AK023320	64400	ENSG00000166971	NM_022476
HGNC:16711	TLR6	toll like receptor 6	CD286		10333	ENSG00000174130	
HGNC:16712	FBXW7	F-box and WD repeat domain containing 7	AGO, FLJ11071, SEL-10, SEL10, FBW7, FBX30, CDC4, FBXW6	AF411971	55294	ENSG00000109670	
HGNC:16713	SRSF10	serine and arginine rich splicing factor 10	TASR1, TASR2, SRp38, SRrp40, SFRS13, PPP1R149	AF047448	10772	ENSG00000188529	NM_006625
HGNC:16714	PKNOX2	PBX/knotted 1 homeobox 2		AK023136	63876	ENSG00000165495	
HGNC:16715	DDX31	DEAD-box helicase 31	FLJ13633, FLJ23349, FLJ14578, PPP1R25	AF427339	64794	ENSG00000125485	NM_138620
HGNC:16716	DHX30	DExH-box helicase 30	KIAA0890, FLJ11214	AB020697	22907	ENSG00000132153	NM_138615
HGNC:16717	DHX32	DEAH-box helicase 32 (putative)	FLJ10889, FLJ10694, DHLP1		55760	ENSG00000089876	NM_018180
HGNC:16718	DHX33	DEAH-box helicase 33	FLJ21972, DKFZp762F2011	AL359945	56919	ENSG00000005100	NM_020162
HGNC:16719	DHX34	DExH-box helicase 34	KIAA0134	D50924	9704	ENSG00000134815	NM_014681
HGNC:1672	CD39L4~withdrawn	symbol withdrawn, see ENTPD5					
HGNC:16721	CGB1	chorionic gonadotropin beta subunit 1		S80935	114335	ENSG00000267631	NM_033377
HGNC:16722	CGB2	chorionic gonadotropin beta subunit 2		K03184	114336	ENSG00000104818	NM_033378
HGNC:16723	FUSIP2~withdrawn	symbol withdrawn, see SRSF10					
HGNC:16724	NCOR1P1	nuclear receptor corepressor 1 pseudogene 1	bB329D4.2	AL391119	149934	ENSG00000240108	
HGNC:16725	LRRC6	leucine rich repeat containing 6	TSLRP, LRTP, CILD19	U60666	23639	ENSG00000129295	NM_012472
HGNC:16727	LINC00307	long intergenic non-protein coding RNA 307	D21S2091E	AY063455	266919	ENSG00000227342	
HGNC:16729	C21orf91-OT1	C21orf91 overlapping transcript 1	D21S2089E	AY063452, AY063453	246312	ENSG00000240770	
HGNC:1673	CD3D	CD3d molecule		X01451	915	ENSG00000167286	NM_000732
HGNC:16731	FBXO32	F-box protein 32	MAFbx, ATROGIN1, Fbx32	AJ420108	114907	ENSG00000156804	
HGNC:16732	MCEE	methylmalonyl-CoA epimerase	GLOD2	AF364547	84693	ENSG00000124370	NM_032601
HGNC:16733	TERF1P1	telomeric repeat binding factor 1 pseudogene 1			348567	ENSG00000173231	NG_003158
HGNC:16734	MEX3D	mex-3 RNA binding family member D	Tino, KIAA2031, OK/SW-cl.4, RNF193	AB107353	399664	ENSG00000181588	NM_203304
HGNC:16735	TMEM189	transmembrane protein 189	Kua	AF155120	387521	ENSG00000240849	NM_199129
HGNC:16736	ZNF354C	zinc finger protein 354C	KID3		30832	ENSG00000177932	
HGNC:16738	RLFP1	rearranged L-myc fusion pseudogene 1		U22379	57008		NG_001289
HGNC:1674	CD3E	CD3e molecule		X03884	916	ENSG00000198851	NM_000733
HGNC:16740	ZBTB11	zinc finger and BTB domain containing 11	ZNF-U69274, ZNF913	U69274	27107	ENSG00000066422	NM_014415
HGNC:16742	TPT1P1	tumor protein, translationally-controlled 1 pseudogene 1			100131268	ENSG00000234107	
HGNC:16743	SHC4	SHC adaptor protein 4	RaLP, SHCD	AY358250	399694	ENSG00000185634	NM_203349
HGNC:16744	CIZ1	CDKN1A interacting zinc finger protein 1	LSFR1, ZNF356	AB030835	25792	ENSG00000148337	NM_012127
HGNC:16745	FANCD1~withdrawn	symbol withdrawn, see BRCA2					
HGNC:16746	MBNL2	muscleblind like splicing regulator 2	MBLL, MBLL39	AF061261	10150	ENSG00000139793	NM_144778
HGNC:16747	ZNF589	zinc finger protein 589	SZF1	AF114816	51385	ENSG00000164048	NM_016089
HGNC:16749	ZNF588~withdrawn	symbol withdrawn, see ZNF107					
HGNC:1675	CD3G	CD3g molecule		X60491	917	ENSG00000160654	NM_000073
HGNC:16752	LINC01152	long intergenic non-protein coding RNA 1152	TCONS_00025128, CMPD	D43770, DB072529	102606463	ENSG00000256124	NR_110124
HGNC:16753	PRDX6	peroxiredoxin 6	AOP2, KIAA0106, 1-Cys, NSGPx, PRX, aiPLA2, MGC46173, p29	D14662	9588	ENSG00000117592	NM_004905
HGNC:16754	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	KIAA1716	AF411981	116983	ENSG00000131584	NM_030649
HGNC:16755	DYX9	dyslexia susceptibility 9			474159		
HGNC:16756	MAPK6PS2	mitogen-activated protein kinase 6 pseudogene 2			254664	ENSG00000223488	NG_002448
HGNC:16757	DGCR5	DiGeorge syndrome critical region gene 5 (non-protein coding)	NCRNA00037, LINC00037	X91348	26220	ENSG00000237517	NR_002733
HGNC:16758	COPS7A	COP9 signalosome subunit 7A	CSN7A	AF193844	50813	ENSG00000111652	
HGNC:16759	ZNF544	zinc finger protein 544	AF020591	AF020591	27300		NM_014480
HGNC:1676	CD3W~withdrawn	entry withdrawn					
HGNC:16760	COPS7B	COP9 signalosome subunit 7B	CSN7B	AK022674	64708	ENSG00000144524	NM_022730
HGNC:16761	HEATR4	HEAT repeat containing 4	MGC48595	BC047590	399671	ENSG00000187105	NM_203309
HGNC:16762	ZNF423	zinc finger protein 423	KIAA0760, OAZ, Roaz, Ebfaz, Zfp104, NPHP14, JBTS19	AB018303	23090	ENSG00000102935	NM_015069
HGNC:16763	ZBTB32	zinc finger and BTB domain containing 32	TZFP, FAZF, FAXF, Rog, ZNF538	AF130255	27033	ENSG00000011590	NM_014383
HGNC:16764	ZBTB6	zinc finger and BTB domain containing 6	ZID	X82018	10773	ENSG00000186130	NM_006626
HGNC:16765	SNX19P1	sorting nexin 19 pseudogene 1			378810	ENSG00000228184	
HGNC:16767	GRIN3A	glutamate ionotropic receptor NMDA type subunit 3A	GluN3A		116443	ENSG00000198785	
HGNC:16768	GRIN3B	glutamate ionotropic receptor NMDA type subunit 3B	GluN3B		116444	ENSG00000116032	
HGNC:16769	GORASP1	golgi reassembly stacking protein 1	GRASP65, P65, FLJ23443	AJ409349	64689	ENSG00000114745	NM_031899
HGNC:1677	CD247	CD247 molecule	CD3H, CD3Q	BC025703	919	ENSG00000198821	NM_198053
HGNC:16770	SEMA6D	semaphorin 6D	KIAA1479, FLJ11598	AF389430	80031		NM_024966
HGNC:16771	KRTAP1-3	keratin associated protein 1-3	KAP1.3	AJ406927	81850	ENSG00000221880	
HGNC:16772	KRTAP1-1	keratin associated protein 1-1	KAP1.1B, HB2A, KAP1.1, KAP1.1A	AJ406926	81851	ENSG00000188581	NM_030967
HGNC:16773	KRTAP9-9	keratin associated protein 9-9	KAP9.9, KAP9.5	AJ406951	81870	ENSG00000198083	NM_030975
HGNC:16774	KRTAP4-15~withdrawn	symbol withdrawn, see KRTAP4-6					
HGNC:16775	KRTAP2-1	keratin associated protein 2-1	KAP2.1A	AJ296345	81872	ENSG00000212725	
HGNC:16776	KRTAP4-12	keratin associated protein 4-12	KAP4.12	AJ406943	83755	ENSG00000213416	
HGNC:16777	KRTAP1-5	keratin associated protein 1-5	KAP1.5	AJ406928	83895	ENSG00000221852	
HGNC:16778	KRTAP3-1	keratin associated protein 3-1	KAP3.1	AJ406931	83896	ENSG00000212901	
HGNC:16779	KRTAP3-2	keratin associated protein 3-2	KAP3.2	AJ406932	83897	ENSG00000212900	
HGNC:1678	CD4	CD4 molecule		M35160	920	ENSG00000010610	NM_000616
HGNC:16781	NPL	N-acetylneuraminate pyruvate lyase	NPL1, DHDPS1	AF338436	80896	ENSG00000135838	NM_030769
HGNC:16782	TRMT1L	tRNA methyltransferase 1 like		AF288399	81627	ENSG00000121486	NM_030934
HGNC:16783	CDC73	cell division cycle 73	parafibromin, FIHP	AF312865	79577	ENSG00000134371	NM_024529
HGNC:16784	FAM129A	family with sequence similarity 129 member A	NIBAN, GIG39	AF288391	116496	ENSG00000135842	
HGNC:16785	SWT1	SWT1, RNA endoribonuclease homolog	FLJ20121, HsSwt1	AF288392	54823	ENSG00000116668	NM_017673
HGNC:16786	C1orf20~withdrawn	entry withdrawn					
HGNC:16787	EDEM3	ER degradation enhancing alpha-mannosidase like protein 3		AF288393	80267	ENSG00000116406	NM_025191
HGNC:16788	SHCBP1L	SHC binding and spindle associated 1 like		AF288397	81626	ENSG00000157060	NM_030933
HGNC:16789	NMNAT2	nicotinamide nucleotide adenylyltransferase 2	KIAA0479, PNAT2	AF288395	23057	ENSG00000157064	
HGNC:1679	TNFRSF5~withdrawn	symbol withdrawn, see CD40					
HGNC:16790	COLGALT2	collagen beta(1-O)galactosyltransferase 2	KIAA0584	AF288389	23127	ENSG00000198756	NM_015101
HGNC:16791	TSEN15	tRNA splicing endonuclease subunit 15		AF288394	116461	ENSG00000198860	
HGNC:16792	SMG7	SMG7, nonsense mediated mRNA decay factor	KIAA0250, EST1C, SGA56M, SMG-7	D87437	9887	ENSG00000116698	NM_014837
HGNC:16793	RAET1E	retinoic acid early transcript 1E	LETAL, bA350J20.7, ULBP4	AF359243	135250	ENSG00000164520	NM_139165
HGNC:16794	RAET1F	retinoic acid early transcript 1F pseudogene			353089		
HGNC:16795	RAET1G	retinoic acid early transcript 1G	ULBP5	AY172579	353091	ENSG00000203722	
HGNC:16796	RAET1J~withdrawn	symbol withdrawn, see BTF3P10					
HGNC:16797	RAET1K	retinoic acid early transcript 1K pseudogene		AF425244	646024	ENSG00000218358	
HGNC:16798	RAET1L	retinoic acid early transcript 1L		AY039682	154064	ENSG00000155918	NM_130900
HGNC:16799	RAET1M	retinoic acid early transcript 1M pseudogene			353094	ENSG00000216444	
HGNC:168	ACTR1B	ARP1 actin related protein 1 homolog B	Arp1B	X82207	10120	ENSG00000115073	NM_005735
HGNC:1680	TNFSF5~withdrawn	symbol withdrawn, see CD40LG					
HGNC:16800	MUC17	mucin 17, cell surface associated		AJ606307	140453	ENSG00000169876	NM_001040105
HGNC:16801	MICF	MHC class I polypeptide-related sequence F (pseudogene)			352957	ENSG00000233265	
HGNC:16802	MICG	MHC class I polypeptide-related sequence G (pseudogene)			352967	ENSG00000237042	
HGNC:16803	UBE3C	ubiquitin protein ligase E3C	KIAA0010, KIAA10	AK127280	9690	ENSG00000009335	NM_014671
HGNC:16804	WWP2	WW domain containing E3 ubiquitin protein ligase 2	AIP2	BC013645	11060	ENSG00000198373	NM_007014
HGNC:16805	PRICKLE4	prickle planar cell polarity protein 4	OEBT, DKFZp761H221	AF216754	29964	ENSG00000278224	NM_013397
HGNC:16806	UBR5	ubiquitin protein ligase E3 component n-recognin 5	DD5, HYD, EDD, KIAA0896	AF006010	51366	ENSG00000104517	NM_015902
HGNC:16807	SMURF1	SMAD specific E3 ubiquitin protein ligase 1	KIAA1625	AB046845	57154	ENSG00000198742	NM_020429
HGNC:16808	UBR1	ubiquitin protein ligase E3 component n-recognin 1			197131	ENSG00000159459	NM_174916
HGNC:16809	SMURF2	SMAD specific E3 ubiquitin protein ligase 2		AF301463	64750	ENSG00000108854	NM_022739
HGNC:1681	CD44	CD44 molecule (Indian blood group)	IN, MC56, Pgp1, CD44R, HCELL, CSPG8	M59040	960	ENSG00000026508	NM_000610
HGNC:16810	RGS8	regulator of G protein signaling 8	MGC119067, MGC119068, MGC119069	AF297015	85397	ENSG00000135824	NM_033345
HGNC:16811	TUBD1	tubulin delta 1	FLJ12709, TUBD	AF201333	51174		NM_016261
HGNC:16812	COQ8A	coenzyme Q8A	COQ8, SCAR9	AJ278126	56997	ENSG00000163050	NM_020247
HGNC:16813	PPP1R27	protein phosphatase 1 regulatory subunit 27	toonin	AF434846	116729	ENSG00000182676	NM_001007533
HGNC:16814	DACH2	dachshund family transcription factor 2		AF428101	117154	ENSG00000126733	NM_053281
HGNC:16815	PHOSPHO1	phosphoethanolamine/phosphocholine phosphatase		AJ457189	162466	ENSG00000173868	NM_001143804
HGNC:16816	CHD5	chromodomain helicase DNA binding protein 5		AF425231	26038	ENSG00000116254	NM_015557
HGNC:16817	ESS2	ess-2 splicing factor homolog	DGSI, Es2el, ES2, DGS-H, ESS-2, bis1	L77566	8220	ENSG00000100056	
HGNC:16818	PUDP	pseudouridine 5'-phosphatase	DXF68S1E, GS1	M86934	8226	ENSG00000130021	NM_012080
HGNC:16819	C22orf19~withdrawn	symbol withdrawn, see THOC5					
HGNC:1682	CD47	CD47 molecule	IAP, OA3		961	ENSG00000196776	NM_001777
HGNC:16820	SCARF1	scavenger receptor class F member 1	SREC, KIAA0149, SREC1	D63483	8578	ENSG00000074660	NM_003693
HGNC:16821	NOP14	NOP14 nucleolar protein	RES4-25, UTP2	AB000467	8602	ENSG00000087269	NM_003703
HGNC:16822	FAM193A	family with sequence similarity 193 member A	RES4-22	AB000459	8603	ENSG00000125386	NM_003704
HGNC:16823	TMEM11	transmembrane protein 11	PMI, PM1	BC002819	8834		NM_003876
HGNC:16824	HCAR3	hydroxycarboxylic acid receptor 3	HCA3, HM74	D10923	8843	ENSG00000255398	NM_006018
HGNC:16825	MTMR8	myotubularin related protein 8	FLJ20126	AK000133	55613	ENSG00000102043	NM_017677
HGNC:16826	TSC22D1	TSC22 domain family member 1	TSC22, MGC17597	AJ222700	8848	ENSG00000102804	NM_006022
HGNC:16827	CDC123	cell division cycle 123	D123	BC001600	8872	ENSG00000151465	NM_006023
HGNC:16828	SEC22C	SEC22 homolog C, vesicle trafficking protein	MGC13261, MGC5373	AF039568	9117	ENSG00000093183	NM_004206
HGNC:16829	RRP9	ribosomal RNA processing 9, U3 small nucleolar RNA binding protein	U3-55K	AJ001340	9136	ENSG00000114767	NM_004704
HGNC:1683	CD48	CD48 molecule	BLAST, mCD48, hCD48, SLAMF2	BC016182	962	ENSG00000117091	NM_001778
HGNC:16830	IL32	interleukin 32	NK4, TAIF, TAIFb, TAIFd	M59807	9235	ENSG00000008517	NM_004221
HGNC:16831	TSPOAP1	TSPO associated protein 1	PRAX-1, KIAA0612, RIM-BP1, RIMBP1	AB014512	9256	ENSG00000005379	NM_004758
HGNC:16832	ATP6V1F	ATPase H+ transporting V1 subunit F	ATP6S14, VATF, Vma7	D49400	9296	ENSG00000128524	NM_004231
HGNC:16833	SOCS6	suppressor of cytokine signaling 6	CIS4, SSI4, HSPC060, STATI4, STAI4, Cish4	AB006968	9306	ENSG00000170677	
HGNC:16834	NREP	neuronal regeneration related protein	P311, D4S114, PRO1873, PTZ17, SEZ17	AF119859	9315	ENSG00000134986	NM_004772
HGNC:16835	TAOK2	TAO kinase 2	TAO1, KIAA0881, PSK, PSK1, TAO2, MAP3K17	AB020688	9344	ENSG00000149930	NM_016151
HGNC:16836	TGFBRAP1	transforming growth factor beta receptor associated protein 1	TRAP-1, TRAP1, VPS3	AF022795	9392	ENSG00000135966	NM_004257
HGNC:16837	LY86	lymphocyte antigen 86	MD-1, dJ80N2.1	AF057178	9450	ENSG00000112799	
HGNC:16838	ZNF358	zinc finger protein 358	FLJ10390, ZFEND	AK001252	140467	ENSG00000198816	
HGNC:16839	THEMIS2	thymocyte selection associated family member 2	ICB-1, Icb-1	AF044896	9473	ENSG00000130775	NM_004848
HGNC:1684	CD49B~withdrawn	symbol withdrawn, see ITGA2					
HGNC:16840	MED20	mediator complex subunit 20	DKFZp586D2223, PRO0213, SRB2	AF097725	9477	ENSG00000124641	NM_004275
HGNC:16841	LITAF	lipopolysaccharide induced TNF factor	PIG7, SIMPLE, FLJ38636, TP53I7	AB034747	9516	ENSG00000189067	NM_004862
HGNC:16842	TP53I11	tumor protein p53 inducible protein 11	PIG11	AF010315	9537		NM_006034
HGNC:16843	FRMPD2B	FERM and PDZ domain containing 2B, pseudogene	yX59F3.2, bA556L1.2		728798	ENSG00000150175	NR_033172
HGNC:16844	CREB5	cAMP responsive element binding protein 5	H_GS165L15.1, CRE-BPA	L05515	9586	ENSG00000146592	NM_004904
HGNC:16846	WTAP	WT1 associated protein	KIAA0105, MGC3925, Mum2	AJ276706	9589	ENSG00000146457	NM_152857
HGNC:16847	CSAG2	CSAG family member 2	TRAG3, CT24.2	AF080246	102723547	ENSG00000268902	NM_001080848
HGNC:16848	CD300LD	CD300 molecule like family member d	CMRF35A4, CD300D		100131439	ENSG00000204345	NM_001115152
HGNC:16849	MORF4L2	mortality factor 4 like 2	KIAA0026, MRGX	AF100620	9643	ENSG00000123562	NM_012286
HGNC:1685	CD5	CD5 molecule	T1	X04391	921	ENSG00000110448	NM_014207
HGNC:16850	CTR9	CTR9 homolog, Paf1/RNA polymerase II complex component	KIAA0155, TSBP, p150TSP	D63875	9646	ENSG00000198730	NM_014633
HGNC:16851	RALGPS1	Ral GEF with PH domain and SH3 binding motif 1	RALGPS1A, RALGEF2, KIAA0351	AB002349	9649	ENSG00000136828	NM_014636
HGNC:16852	SOCS5	suppressor of cytokine signaling 5	KIAA0671, SOCS-5, CIS6, CISH6, Cish5	AB014571		ENSG00000171150	
HGNC:16853	IPO13	importin 13	IMP13, KIAA0724, RANBP13	AB018267	9670	ENSG00000117408	NM_014652
HGNC:16854	RAPGEF2	Rap guanine nucleotide exchange factor 2	PDZ-GEF1, RA-GEF, DKFZP586O1422, KIAA0313	AB002311	9693	ENSG00000109756	NM_014247
HGNC:16855	TRAM2	translocation associated membrane protein 2	KIAA0057	D31762	9697	ENSG00000065308	NM_012288
HGNC:16856	ESPL1	extra spindle pole bodies like 1, separase	KIAA0165, ESP1, SEPA	D79987	9700	ENSG00000135476	NM_012291
HGNC:16857	KLF16	Kruppel like factor 16	NSLP2, BTEB4, DRRF	AF327440	83855	ENSG00000129911	
HGNC:16858	USP6NL	USP6 N-terminal like	RNTRE, KIAA0019, TRE2NL, RN-tre	BC010351	9712	ENSG00000148429	NM_014688
HGNC:16859	NOS1AP	nitric oxide synthase 1 adaptor protein	KIAA0464, CAPON	AB007933	9722	ENSG00000198929	NM_014697
HGNC:1686	CD53	CD53 molecule	TSPAN25	BC040693	963	ENSG00000143119	NM_000560
HGNC:16860	SART3	squamous cell carcinoma antigen recognized by T cells 3	KIAA0156, RP11-13G14, TIP110, p110	AB020880	9733	ENSG00000075856	
HGNC:16861	PIAS3	protein inhibitor of activated STAT 3	FLJ14651, ZMIZ5	AB021868	10401	ENSG00000131788	NM_006099
HGNC:16862	RAPGEF5	Rap guanine nucleotide exchange factor 5	KIAA0277, GFR, MR-GEF	D87467	9771	ENSG00000136237	NM_012294
HGNC:16863	BCLAF1	BCL2 associated transcription factor 1	KIAA0164, BTF	AF249273	9774	ENSG00000029363	NM_014739
HGNC:16864	DLGAP5	DLG associated protein 5	KIAA0008, DLG1, HURP	D13633	9787	ENSG00000126787	NM_014750
HGNC:16865	PHYHIP	phytanoyl-CoA 2-hydroxylase interacting protein	KIAA0273, PAHX-AP	D87463	9796	ENSG00000168490	NM_014759
HGNC:16867	RNF40	ring finger protein 40	KIAA0661, RBP95, BRE1B, STARING	AB014561	9810	ENSG00000103549	NM_014771
HGNC:16869	ARMCX2	armadillo repeat containing, X-linked 2	ALEX2, KIAA0512, GASP9	AB011084	9823	ENSG00000184867	NM_014782
HGNC:1687	CD57~withdrawn	symbol withdrawn, see B3GAT1					
HGNC:16870	MELK	maternal embryonic leucine zipper kinase	KIAA0175	D79997	9833	ENSG00000165304	NM_014791
HGNC:16871	SPRN	shadow of prion protein	Shadoo, Sprn, bA108K14.1, FLJ41197		503542	ENSG00000203772	NM_001012508
HGNC:16872	SLC35B2	solute carrier family 35 member B2	UGTrel4	AK075456	347734	ENSG00000157593	
HGNC:16873	FIG4	FIG4 phosphoinositide 5-phosphatase	SAC3, hSac3, dJ249I4.1, ALS11, CMT4J	D87464	9896	ENSG00000112367	NM_014845
HGNC:16874	SV2B	synaptic vesicle glycoprotein 2B	KIAA0735, HsT19680	AB018278	9899	ENSG00000185518	NM_014848
HGNC:16875	MRC2	mannose receptor C type 2	KIAA0709, ENDO180, CLEC13E, CD280	AB014609	9902		
HGNC:16876	ARNT2	aryl hydrocarbon receptor nuclear translocator 2	KIAA0307, bHLHe1	AB002305	9915	ENSG00000172379	
HGNC:16877	MFN2	mitofusin 2	CPRP1, KIAA0214, MARF, CMT2A2	AF036536	9927	ENSG00000116688	NM_014874
HGNC:16878	HELZ	helicase with zinc finger	KIAA0054, HUMORF5, DHRC	D29677	9931	ENSG00000198265	NM_014877
HGNC:16879	REC8	REC8 meiotic recombination protein	Rec8p, kleisin-alpha	AF006264	9985	ENSG00000100918	NM_005132
HGNC:1688	CD58	CD58 molecule		BC005930	965	ENSG00000116815	NM_001779
HGNC:16880	SSX4B	SSX family member 4B	OTTHUMT00000056510		548313	ENSG00000269791	
HGNC:16881	AAED1	AhpC/TSA antioxidant enzyme domain containing 1		BK000255	195827	ENSG00000158122	NM_153698
HGNC:16882	HCN4	hyperpolarization activated cyclic nucleotide gated potassium channel 4		AJ132429	10021	ENSG00000138622	NM_005477
HGNC:16884	SH2D3C	SH2 domain containing 3C	NSP3	AF124251	10044	ENSG00000095370	NM_005489
HGNC:16885	SH2D3A	SH2 domain containing 3A	NSP1	AF124249	10045		NM_005490
HGNC:16886	ZNF359~withdrawn	symbol withdrawn, see ZNF23					
HGNC:16887	PDZK1IP1	PDZK1 interacting protein 1	DD96, MAP17, SPAP	U21049	10158	ENSG00000162366	NM_005764
HGNC:16888	DHRS9	dehydrogenase/reductase 9	RDHL, 3alpha-HSD, RETSDR8, RDH15, SDR9C4	AF067174	10170	ENSG00000073737	NM_005771
HGNC:16889	PSMD14	proteasome 26S subunit, non-ATPase 14	POH1, pad1, Rpn11	U86782	10213	ENSG00000115233	NM_005805
HGNC:1689	CD59	CD59 molecule (CD59 blood group)	16.3A5, EJ16, EJ30, EL32, G344, p18-20		966	ENSG00000085063	NM_203329
HGNC:16890	CTDSPL	CTD small phosphatase like	HYA22, SCP3, PSR1, RBSP3	D88153	10217	ENSG00000144677	NM_005808
HGNC:16891	TRIB1	tribbles pseudokinase 1	C8FW, GIG2, TRB1	AF205437	10221	ENSG00000173334	NM_025195
HGNC:16892	CD96	CD96 molecule	TACTILE	M88282	10225	ENSG00000153283	
HGNC:16893	PLIN3	perilipin 3	TIP47, PP17	AF051314	10226		NM_005817
HGNC:16894	MFSD10	major facilitator superfamily domain containing 10	TETRAN, IT10C3	L11669	10227	ENSG00000109736	NM_001120
HGNC:16895	LRRC17	leucine rich repeat containing 17	P37NB, H_RG318M05.3	U32907	10234	ENSG00000128606	NM_005824
HGNC:16896	RABEPK	Rab9 effector protein with kelch motifs	RAB9P40, bA65N13.1	BC000503	10244	ENSG00000136933	NM_005833
HGNC:16897	RIDA	reactive intermediate imine deaminase A homolog	UK114, P14.5, PSP	BC008418	10247	ENSG00000132541	NM_005836
HGNC:16898	EFS	embryonal Fyn-associated substrate	EFS2, EFS1, HEFS, SIN, CASS3	AB001466	10278	ENSG00000100842	
HGNC:16899	L1RE3~withdrawn	entry withdrawn					
HGNC:169	ACTR2	ARP2 actin related protein 2 homolog	ARP2	AF006082	10097	ENSG00000138071	NM_001005386
HGNC:1690	CD5L	CD5 molecule like	Spalpha	U82812	922	ENSG00000073754	NM_005894
HGNC:16900	SMNDC1	survival motor neuron domain containing 1	SPF30, SMNR, TDRD16C	AF083385	10285	ENSG00000119953	NM_005871
HGNC:16901	SPEG	SPEG complex locus	MGC12676, KIAA1297, SPEGalpha, SPEGbeta, BPEG	BC006346	10290	ENSG00000072195	NM_005876
HGNC:16902	BCKDK	branched chain ketoacid dehydrogenase kinase		AF026548	10295	ENSG00000103507	NM_005881
HGNC:16903	TNIP1	TNFAIP3 interacting protein 1	NAF1, KIAA0113, ABIN-1, VAN	AJ011895	10318	ENSG00000145901	NM_006058
HGNC:16904	CRISP3	cysteine rich secretory protein 3	SGP28, CRISP-3, CRS3, dJ442L6.3, Aeg2	X94323	10321	ENSG00000096006	NM_006061
HGNC:16905	KLHL41	kelch like family member 41	SARCOSIN, Krp1	AF056929	10324	ENSG00000239474	NM_006063
HGNC:16906	GSTK1	glutathione S-transferase kappa 1	GST13		373156	ENSG00000197448	NM_015917
HGNC:16909	NDC80	NDC80, kinetochore complex component	HEC, HEC1, hsNDC80, TID3	AF017790	10403	ENSG00000080986	NM_006101
HGNC:1691	CD6	CD6 molecule	Tp120		923	ENSG00000013725	NM_006725
HGNC:16910	CPQ	carboxypeptidase Q	LDP, PGCP	AF107834	10404	ENSG00000104324	NM_016134
HGNC:16911	MYCNOS	MYCN opposite strand	NCYM, N-CYM, MYCN-AS1	S49953	10408	ENSG00000233718	
HGNC:16912	EMG1	EMG1, N1-specific pseudouridine methyltransferase	C2F, NEP1, Grcc2f	U72514	10436	ENSG00000268439	NM_006331
HGNC:16913	CTNNBIP1	catenin beta interacting protein 1	ICAT, MGC15093	AB021262	56998	ENSG00000178585	NM_020248
HGNC:16914	LRRN2	leucine rich repeat neuronal 2	GAC1, LRANK1, FIGLER7	AF030435	10446	ENSG00000170382	NM_006338
HGNC:16915	HAX1	HCLS1 associated protein X-1	HS1BP1, HCLSBP1	U68566	10456	ENSG00000143575	NM_006118
HGNC:16916	CLEC10A	C-type lectin domain containing 10A	HML2, HML, CD301	D50532	10462	ENSG00000132514	NM_006344
HGNC:16917	LRRC41	leucine rich repeat containing 41	MUF1	AK024051	10489	ENSG00000132128	NM_006369
HGNC:16918	SYNCRIP	synaptotagmin binding cytoplasmic RNA interacting protein	NSAP1, GRY-RBP, dJ3J17.2, HNRPQ1, hnRNP-Q, HNRNPQ	AF037448	10492	ENSG00000135316	NM_006372
HGNC:16919	VAT1	vesicle amine transport 1	VATI, FLJ20230	U18009	10493	ENSG00000108828	NM_006373
HGNC:1692	CD63	CD63 molecule	ME491, TSPAN30	M58485	967	ENSG00000135404	
HGNC:16920	CIB1	calcium and integrin binding 1	SIP2-28, CIB, KIP	U82226	10519	ENSG00000185043	
HGNC:16921	AGAP2	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2		AF413077	116986	ENSG00000135439	NM_014770
HGNC:16922	AGAP1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1	KIAA1099, GGAP1	AF413078	116987	ENSG00000157985	NM_014914
HGNC:16923	AGAP3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3		AF413079	116988	ENSG00000133612	NM_031946
HGNC:16924	ARAP2	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2	PARX	AF411982	116984	ENSG00000047365	NM_015230
HGNC:16925	ARAP1	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1		AF411983	116985	ENSG00000186635	NM_001040118
HGNC:16926	KRTAP9-2	keratin associated protein 9-2	KAP9.2	AJ406946	83899	ENSG00000239886	
HGNC:16927	KRTAP9-3	keratin associated protein 9-3	KAP9.3	AJ406947	83900	ENSG00000204873	
HGNC:16928	KRTAP4-4	keratin associated protein 4-4	KAP4.4, KAP4.13	AJ406936	84616	ENSG00000171396	
